0.05,0.15,0.25,0.35,0.2
0.0217,0.2174,0.4,0.2174,0.0217
0.03,0.2,0.5,0.2,0.1
0.04,0.2,0.35,0.275,0.135
0.039497,0.230166,0.460674,0.230166,0.039497
0.08,0.2,0.34,0.29,0.09
0.12,0.16,0.24,0.4,0.08
0.033,0.222,0.445,0.269,0.031
0.15,0.25,0.3,0.2,0.1
0.044,0.304,0.304,0.304,0.044
0.1,0.2,0.25,0.2,0.25
0.045,0.2,0.4,0.27,0.085
0.3,0.25,0.2,0.15,0.1
0.105,0.285,0.18,0.285,0.145
0.05,0.2,0.5,0.2,0.05
0.1,0.3,0.4,0.15,0.05
0.035,0.215,0.5,0.215,0.035
0.07,0.28,0.35,0.2,0.1
0.2,0.3,0.3,0.15,0.05
0.0542,0.2378,0.416,0.2378,0.0542
0.07,0.27,0.4,0.22,0.04
0.03889,0.17111,0.4,0.31778,0.07222
0.1,0.2,0.3,0.2,0.2
0.03,0.15,0.4,0.3,0.12
0.1,0.3,0.3,0.2,0.1
0.04,0.2,0.36,0.28,0.12
0.05,0.15,0.4,0.25,0.15
0.05,0.2,0.5,0.2,0.05
0.111,0.2,0.655,0.022,0.011
0.1,0.3,0.2,0.3,0.1
0.05,0.15,0.4,0.3,0.1
0.04,0.18,0.56,0.18,0.04
0.1,0.1,0.2,0.2,0.4
0.05,0.2,0.3,0.3,0.15
0.05,0.2,0.3,0.3,0.15
0.03,0.15,0.34,0.3,0.18
0.2,0.1,0.3,0.3,0.1
0.03656,0.17444,0.564,0.17444,0.03656
0.1,0.3,0.4,0.15,0.05
0.134,0.436,0.3,0.1,0.03
0.0456,0.2278,0.3737,0.2861,0.067
0.05,0.2,0.35,0.25,0.15
0.03,0.15,0.34,0.34,0.14
0.05,0.15,0.25,0.3,0.25
0.01,0.15,0.45,0.28,0.11
0.0656,0.26961,0.40022,0.21956,0.04501
0.05,0.2,0.35,0.3,0.1
0.03,0.2,0.35,0.3,0.12
0.04,0.2,0.36,0.3,0.1
0.025,0.225,0.4,0.275,0.075
0.045,0.195,0.36,0.3,0.1
0.03,0.17,0.4,0.3,0.1
0.0505,0.2395,0.395,0.2495,0.0655
0.04556,0.23444,0.4,0.25444,0.06556
0.1,0.25,0.4,0.2,0.05
0.0285,0.126,0.4,0.3269,0.1186
0.055,0.22,0.35,0.29,0.085
0.05,0.2,0.35,0.3,0.1
0.095,0.205,0.4,0.205,0.095
0.02,0.08,0.6,0.24,0.06
0.03,0.22,0.4,0.3,0.05
0.05,0.2,0.3,0.3,0.15
0.011,0.178,0.622,0.178,0.011
0.045,0.2,0.35,0.3,0.105
0.0806,0.26944,0.4,0.21944,0.0306
0.045,0.205,0.25,0.315,0.185
0.02,0.18,0.4,0.3,0.1
0.05,0.15,0.6,0.15,0.05
0.03,0.17,0.4,0.3,0.1
0.03556,0.22444,0.4,0.26444,0.07556
0.004819,0.038426,0.19213,0.346957,0.417668
0.1,0.25,0.3,0.25,0.1
0.02556,0.19444,0.56,0.19444,0.02556
0.04,0.2,0.35,0.3,0.11
0.03,0.17,0.6,0.17,0.03
0.03,0.2,0.34,0.3,0.13
0.060605,0.239391,0.39451,0.239391,0.060605
0.1,0.15,0.3,0.25,0.2
0.05216,0.23812,0.40458,0.24574,0.0594
0.05,0.2,0.4,0.3,0.05
0.01,0.09,0.6,0.27,0.03
0.05,0.22,0.36,0.28,0.09
0.05,0.2,0.35,0.3,0.1
0.05,0.15,0.6,0.15,0.05
0.0450025,0.194998,0.4,0.293888,0.0671105
0.1,0.2,0.4,0.2,0.1
0.025,0.15,0.3,0.35,0.175
0.02,0.18,0.36,0.28,0.16
0.06,0.22,0.4,0.22,0.1
0.05,0.1,0.15,0.3,0.4
0.0734,0.225,0.3732,0.225,0.0734
0.05,0.15,0.3,0.25,0.25
0.03,0.17,0.3,0.35,0.15
0.065555,0.144444,0.3,0.344444,0.145555
0.02,0.15,0.3,0.3,0.23
0.04,0.1,0.34,0.42,0.1
